"origin_iso","destination_iso","originregion_name","destinationregion_name","origin_name","destination_name","ftype","countryflow_2001","countryflow_2002","countryflow_2003","countryflow_2004","countryflow_2005","countryflow_2006","countryflow_2007","countryflow_2008","countryflow_2009","countryflow_2010","countryflow_2011","countryflow_2012","countryflow_2013","countryflow_2014","countryflow_2015"
"DE","RU","Eurocontrol","Asia","Germany","Russian Federation","outbound",10460,11535,12388,14984,15240,17219,20716,22245,20190,20289,24171,25334,24960,24814,20743
"DE","SA","Eurocontrol","Middle East","Germany","Saudi Arabia","outbound",0,0,0,0,0,0,0,0,0,0,0,1885,2073,1930,1958
"DE","SG","Eurocontrol","Asia","Germany","Singapore","outbound",0,0,0,0,0,0,0,0,0,1931,2166,2024,0,0,0
"DE","TH","Eurocontrol","Asia","Germany","Thailand","outbound",0,0,0,1992,2107,1834,2214,2185,2025,2144,2318,2073,0,1888,0
"DE","TN","Eurocontrol","Africa","Germany","Tunisia","outbound",7710,5560,4717,4883,4905,4639,4474,4526,4477,4369,3107,3955,4001,4182,3058
"DE","US","Eurocontrol","America","Germany","United States","outbound",19888,19617,21073,22263,24028,25521,27272,27596,25172,25866,27262,26951,26396,25433,25146
"DK","IS","Eurocontrol","America","Denmark","Iceland","outbound",0,0,0,0,0,0,1852,0,0,0,0,0,0,0,0
"DK","US","Eurocontrol","America","Denmark","United States","outbound",0,0,0,0,0,1930,2159,2073,1969,2009,1859,0,0,2152,2210
"DZ","ES","Africa","Eurocontrol","Algeria","Spain","inbound",0,0,0,0,0,0,0,0,1978,2641,2787,2565,3123,3312,3575
"DZ","FR","Africa","Eurocontrol","Algeria","France","inbound",7776,9980,10333,10558,10525,11636,11992,12442,13491,14771,15643,16788,18224,18984,19649
"DZ","TR","Africa","Eurocontrol","Algeria","Turkey","inbound",0,0,0,0,0,0,0,0,0,0,0,0,0,1906,2289
"EE","RU","Eurocontrol","Asia","Estonia","Russian Federation","outbound",0,0,0,0,0,0,0,0,0,0,0,2515,1935,0,0
"EG","AT","Middle East","Eurocontrol","Egypt","Austria","inbound",0,0,0,0,0,0,0,1855,1848,2009,0,0,0,0,0
"EG","BE","Middle East","Eurocontrol","Egypt","Belgium","inbound",0,0,0,0,1992,1939,2148,2462,2247,2416,2071,0,0,0,0
"EG","CH","Middle East","Eurocontrol","Egypt","Switzerland","inbound",0,0,0,0,0,0,0,1890,1959,2039,0,0,0,0,0
"EG","DE","Middle East","Eurocontrol","Egypt","Germany","inbound",5863,5763,5672,7098,7294,7028,7928,8234,8148,8717,6778,8193,6619,6516,8199
"EG","FR","Middle East","Eurocontrol","Egypt","France","inbound",2659,2425,2555,3452,3513,2676,3167,3725,3508,3846,2462,2235,0,0,0
"EG","GB","Middle East","Eurocontrol","Egypt","United Kingdom","inbound",2253,2392,2665,2890,4098,5522,5474,5933,6537,7101,6071,5542,5731,5725,5570
"EG","IT","Middle East","Eurocontrol","Egypt","Italy","inbound",5825,6154,7185,8229,7111,6949,8046,8486,8378,9051,5629,6719,5561,5103,3979
